set_num,name,year,theme_id,num_parts,img_url
001-1,Gears,1965,1,43,https://cdn.rebrickable.com/media/sets/001-1.jpg
0011-2,Town Mini-Figures,1979,67,12,https://cdn.rebrickable.com/media/sets/0011-2.jpg
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,https://cdn.rebrickable.com/media/sets/0011-3.jpg
0012-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0012-1.jpg
0013-1,Space Mini-Figures,1979,143,12,https://cdn.rebrickable.com/media/sets/0013-1.jpg
0014-1,Space Mini-Figures,1979,143,2,https://cdn.rebrickable.com/media/sets/0014-1.jpg
0015-1,Space Mini-Figures,1979,143,18,https://cdn.rebrickable.com/media/sets/0015-1.jpg
0016-1,Castle Mini Figures,1979,189,15,https://cdn.rebrickable.com/media/sets/0016-1.jpg
002-1,4.5V Samsonite Gears Motor Set,1965,1,3,https://cdn.rebrickable.com/media/sets/002-1.jpg
002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4,https://cdn.rebrickable.com/media/sets/002253963-1.jpg
003-1,Master Mechanic Set,1966,366,403,https://cdn.rebrickable.com/media/sets/003-1.jpg
005-1,Basic Building Set in Cardboard,1965,366,35,https://cdn.rebrickable.com/media/sets/005-1.jpg
005-2,Discovery Set,1967,366,0,https://cdn.rebrickable.com/media/sets/005-2.jpg
00-6,Special Offer,1985,67,0,https://cdn.rebrickable.com/media/sets/00-6.jpg
010-1,Basic Building Set in Cardboard,1965,366,57,https://cdn.rebrickable.com/media/sets/010-1.jpg
010-2,Pre-School Set,1973,505,18,https://cdn.rebrickable.com/media/sets/010-2.jpg
010-3,Basic Building Set,1968,366,77,https://cdn.rebrickable.com/media/sets/010-3.jpg
010423-1,The Majestic Horse,2023,721,0,https://cdn.rebrickable.com/media/sets/010423-1.jpg
01-Jan,Chain Links,1980,453,25,https://cdn.rebrickable.com/media/sets/01-1.jpg
011-1,Basic Building Set,1968,366,145,https://cdn.rebrickable.com/media/sets/011-1.jpg
02-Jan,Bulldozer Chain Links,1982,453,50,https://cdn.rebrickable.com/media/sets/01-2.jpg
01-Feb,Extra Large Tires & Hubs,1982,453,4,https://cdn.rebrickable.com/media/sets/02-1.jpg
021-1,Wheel Set,1966,366,183,https://cdn.rebrickable.com/media/sets/021-1.jpg
02-Feb,Digger Bucket Assembly,1980,453,3,https://cdn.rebrickable.com/media/sets/02-2.jpg
022-1,Basic Building Set,1968,366,110,https://cdn.rebrickable.com/media/sets/022-1.jpg
0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74,https://cdn.rebrickable.com/media/sets/0241187567-1.jpg
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70,https://cdn.rebrickable.com/media/sets/0241357594-1.jpg
028-1,Nursery Furniture,1979,652,7,https://cdn.rebrickable.com/media/sets/028-1.jpg
030-2,Building Set,1973,505,29,https://cdn.rebrickable.com/media/sets/030-2.jpg
03093-1,The Race to Build It Board Game,1999,674,77,https://cdn.rebrickable.com/media/sets/03093-1.jpg
01-Mar,Doors and Fences,1980,443,10,https://cdn.rebrickable.com/media/sets/03-1.jpg
032-1,Living Room,1979,652,14,https://cdn.rebrickable.com/media/sets/032-1.jpg
033-1,Farm Animals,1979,632,21,https://cdn.rebrickable.com/media/sets/033-1.jpg
033-2,Basic Building Set,1968,366,177,https://cdn.rebrickable.com/media/sets/033-2.jpg
01-Apr,Propellers and Wheels,1980,443,13,https://cdn.rebrickable.com/media/sets/04-1.jpg
041-1,Pre-School Beginners Set,1964,369,24,https://cdn.rebrickable.com/media/sets/041-1.jpg
041-2,Playhouse,1979,652,1,https://cdn.rebrickable.com/media/sets/041-2.jpg
042-1,Jumbo Brick Pull Toy,1966,369,9,https://cdn.rebrickable.com/media/sets/042-1.jpg
044-1,Basic Building Set,1968,366,225,https://cdn.rebrickable.com/media/sets/044-1.jpg
